"GEOGRAPHY_NAME","OBS_VALUE"
"Simonside and Rekendyke",120
"West Park",50
"Westoe",40
"Whitburn and Marsden",35
"Whiteleas",60
"Barnes",45
"Castle",85
"Copt Hill",95
"Doxford",35
"Fulwell",25
"Hendon",170
"Hetton",100
"Houghton",80
"Millfield",90
"Pallion",95
"Redhill",115
"Ryhope",55
"Sandhill",110
"Shiney Row",75
"Silksworth",70
"Southwick",115
"St Anne's",85
"St Chad's",35
"St Michael's",50
"St Peter's",35
"Washington Central",55
"Washington East",50
"Washington North",120
"Washington South",40
"Washington West",70
"Audley",65
"Bastwell",55
"Beardwood with Lammack",15
"Corporation Park",30
"Earcroft",35
"East Rural",0
"Ewood",55
"Fernhurst",15
"Higher Croft",45
"Little Harwood",45
"Livesey with Pleasington",15
"Marsh House",15
"Meadowhead",35
"Mill Hill",45
"North Turton with Tockholes",0
"Queen's Park",40
"Roe Lee",20
"Shadsworth with Whitebirk",75
"Shear Brow",45
"Sudell",65
"Sunnyhurst",35
"Wensley Fold",80
"Whitehall",10
"Anchorsholme",10
"Bispham",15
"Bloomfield",95
"Brunswick",60
"Claremont",105
"Clifton",30
"Greenlands",20
"Hawes Side",35
"Highfield",10
"Ingthorpe",30
"Layton",30
"Marton",10
"Norbreck",5
"Park",70
"Squires Gate",20
"Stanley",10
"Talbot",80
"Tyldesley",40
"Victoria",45
"Warbreck",35
"Waterloo",55
"Alderley Edge",5
"Alsager",25
"Audlem",5
"Bollington",5
"Brereton Rural",10
"Broken Cross and Upton",20
"Bunbury",5
"Chelford",5
"Congleton East",30
"Congleton West",20
"Crewe Central",65
"Crewe East",65
"Crewe North",10
"Crewe South",55
"Crewe St Barnabas",35
"Crewe West",45
"Dane Valley",5
"Disley",5
"Gawsworth",5
"Handforth",25
"Haslington",5
"High Legh",0
"Knutsford",15
"Leighton",5
"Macclesfield Central",25
"Macclesfield East",10
"Macclesfield Hurdsfield",15
"Macclesfield South",30
"Macclesfield Tytherington",10
"Macclesfield West and Ivy",20
"Middlewich",30
"Mobberley",5
"Nantwich North and West",25
"Nantwich South and Stapeley",15
"Odd Rode",10
"Poynton East and Pott Shrigley",5
"Poynton West and Adlington",5
"Prestbury",0
"Sandbach Elworth",10
"Sandbach Ettiley Heath and Wheelock",10
"Sandbach Heath and East",5
"Sandbach Town",5
"Shavington",10
"Sutton",5
"Willaston and Rope",5
"Wilmslow Dean Row",0
"Wilmslow East",0
"Wilmslow Lacey Green",5
"Wilmslow West and Chorley",5
"Wistaston",5
"Wrenbury",5
"Wybunbury",5
"Blacon",130
"Boughton",20
"Chester City",15
"Chester Villages",15
"Davenham and Moulton",15
"Dodleston and Huntington",5
"Ellesmere Port Town",90
"Elton",10
"Farndon",5
"Frodsham",15
"Garden Quarter",30
"Gowy",0
"Grange",45
"Great Boughton",10
"Handbridge Park",10
"Hartford and Greenbank",20
"Helsby",5
"Hoole",30
"Kingsley",0
"Lache",30
"Ledsham and Manor",5
"Little Neston and Burton",10
"Malpas",5
"Marbury",20
"Neston",15
"Netherpool",25
"Newton",25
"Parkgate",0
"Rossmore",40
"Saughall and Mollington",5
"Shakerley",10
"St Paul's",40
"Strawberry",5
"Sutton",30
"Tarporley",0
"Tarvin and Kelsall",5
"Tattenhall",5
"Upton",25
"Weaver and Cuddington",20
"Whitby",20
"Willaston and Thornton",0
"Winnington and Castle",45
"Winsford Over and Verdin",85
"Winsford Swanlow and Dene",40
"Winsford Wharton",45
"Witton and Rudheath",25
"Appleton",30
"Beechwood",5
"Birchfield",15
"Broadheath",20
"Daresbury",5
"Ditton",35
"Farnworth",15
"Grange",65
"Hale",0
"Halton Brook",35
"Halton Castle",55
"Halton Lea",60
"Halton View",35
"Heath",15
"Hough Green",50
"Kingsway",50
"Mersey",35
"Norton North",30
"Norton South",50
"Riverside",45
"Windmill Hill",25
"Appleton",5
"Bewsey and Whitecross",65
"Birchwood",35
"Burtonwood and Winwick",15
"Culcheth, Glazebury and Croft",15
"Fairfield and Howley",70
"Grappenhall and Thelwall",10
"Great Sankey North",15
"Great Sankey South",30
"Hatton, Stretton and Walton",5
"Latchford East",45
"Latchford West",20
"Lymm",15
"Orford",50
"Penketh and Cuerdley",10
"Poplars and Hulme",65
"Poulton North",40
"Poulton South",10
"Rixton and Woolston",15
"Stockton Heath",10
"Westbrook",5
"Whittle Hall",30
"All Saints",5
"Aspatria",5
"Boltons",0
"Broughton St Bridget's",5
"Christchurch",5
"Clifton",5
"Crummock",0
"Dalton",0
"Derwent Valley",0
"Ellen",5
"Ellenborough",15
"Ewanrigg",25
"Flimby",5
"Harrington",5
"Holme",5
"Keswick",0
"Marsh",0
"Moorclose",45
"Moss Bay",45
"Netherhall",25
"Seaton",10
"Silloth",5
"Solway",0
"St John's",20
"St Michael's",45
"Stainburn",5
"Wampool",5
"Warnell",0
"Waver",0
"Wharrels",0
"Wigton",20
"Barrow Island",15
"Central",50
"Dalton North",20
"Dalton South",25
"Hawcoat",5
"Hindpool",55
"Newbarns",20
"Ormsgill",35
"Parkside",20
"Risedale",35
"Roosecote",5
"Walney North",10
"Walney South",10
"Belah",15
"Belle Vue",30
"Botcherby",35
"Brampton",10
"Burgh",0
"Castle",50
"Currock",20
"Dalston",15
"Denton Holme",25
"Great Corby and Geltsdale",0
"Harraby",15
"Hayton",5
"Irthing",5
"Longtown & Rockcliffe",10
"Lyne",0
"Morton",25
"St Aidans",35
"Stanwix Rural",5
"Stanwix Urban",5
"Upperby",25
"Wetheral",5
"Yewdale",10
"Arlecdon",5
"Beckermet",5
"Bootle",0
"Bransty",15
"Cleator Moor North",15
"Cleator Moor South",15
"Distington",15
"Egremont North",20
"Egremont South",15
"Ennerdale",0
"Frizington",10
"Gosforth",0
"Harbour",40
"Haverigg",5
"Hensingham",10
"Hillcrest",5
"Holborn Hill",10
"Kells",10
"Millom Without",0
"Mirehouse",25
"Moresby",5
"Newtown",10
"Sandwith",20
"Seascale",0
"St Bees",5
"Alston Moor",0
"Appleby (Appleby)",5
"Appleby (Bongate)",5
"Askham",0
"Brough",0
"Crosby Ravensworth",0
"Dacre",0
"Eamont",0
"Greystoke",0
"Hartside",0
"Hesket",0
"Kirkby Stephen,Ravenstonedale",10
"Kirkby Thore",0
"Kirkoswald",0
"Langwathby",0
"Lazonby",0
"Long Marton",0
"Morland",0
"Orton with Tebay",0
"Penrith Carleton",0
"Penrith East",10
"Penrith North",5
"Penrith Pategill",5
"Penrith South",10
"Penrith West",5
"Shap",5
"Skelton",0
"Ullswater",0
"Warcop",0
"Ambleside and Grasmere",5
"Arnside and Beetham",0
"Broughton",0
"Burneside",0
"Burton and Holme",0
"Cartmel and Grange West",0
"Coniston and Crake Valley",0
"Crooklands",0
"Grange North",0
"Grange South",0
"Hawkshead",0
"Holker",0
"Kendal Castle",0
"Kendal Far Cross",5
"Kendal Fell",10
"Kendal Heron Hill",0
"Kendal Highgate",0
"Kendal Kirkland",10
"Kendal Mintsfeet",0
"Kendal Nether",5
"Kendal Oxenholme and Natland",0
"Kendal Parks",0
"Kendal Romney",5
"Kendal Stonecross",0
"Kendal Strickland",5
"Kendal Underley",0
"Levens",0
"Low Furness",0
"Lyth Valley",0
"Mid Furness",5
"Milnthorpe",0
"Sedbergh and Kirkby Lonsdale",5
"Staveley-in-Cartmel",0
"Staveley-in-Westmorland",0
"Ulverston Central",5
"Ulverston East",5
"Ulverston North",5
"Ulverston South",0
"Ulverston Town",0
"Ulverston West",0
"Whinfell",0
"Windermere Applethwaite and Troutbeck",0
"Windermere Bowness North",5
"Windermere Bowness South",0
"Windermere Town",0
"Astley Bridge",55
"Bradshaw",55
"Breightmet",120
"Bromley Cross",20
"Crompton",135
"Farnworth",150
"Great Lever",110
"Halliwell",145
"Harper Green",105
"Heaton and Lostock",25
"Horwich and Blackrod",30
"Horwich North East",40
"Hulton",75
"Kearsley",45
"Little Lever and Darcy Lever",40
"Rumworth",125
"Smithills",65
"Tonge with the Haulgh",120
"Westhoughton North and Chew Moor",30
"Westhoughton South",45
"Besses",70
"Church",30
"East",95
"Elton",55
"Holyrood",40
"Moorside",110
"North Manor",10
"Pilkington Park",20
"Radcliffe East",70
"Radcliffe North",45
"Radcliffe West",65
"Ramsbottom",30
"Redvales",60
"Sedgley",35
"St Mary's",40
"Tottington",25
"Unsworth",30
"Ancoats and Clayton",105
