"GEOGRAPHY_NAME","GEOGRAPHY_CODE","AGE_NAME","OBS_VALUE"
"Peterlee West","E36001107","Aged 16-24",60
"Peterlee West","E36001107","Aged 25-29",25
"Sacriston","E36001108","Aged 16-24",35
"Sacriston","E36001108","Aged 25-29",20
"Seaham","E36001109","Aged 16-24",15
"Seaham","E36001109","Aged 25-29",10
"Sedgefield","E36001110","Aged 16-24",15
"Sedgefield","E36001110","Aged 25-29",5
"Sherburn","E36001111","Aged 16-24",40
"Sherburn","E36001111","Aged 25-29",20
"Shildon East","E36001112","Aged 16-24",80
"Shildon East","E36001112","Aged 25-29",40
"Shildon West","E36001113","Aged 16-24",60
"Shildon West","E36001113","Aged 25-29",35
"Shotton","E36001114","Aged 16-24",75
"Shotton","E36001114","Aged 25-29",40
"Spennymoor and Middlestone","E36001115","Aged 16-24",55
"Spennymoor and Middlestone","E36001115","Aged 25-29",25
"Stanley","E36001116","Aged 16-24",75
"Stanley","E36001116","Aged 25-29",50
"Tanfield","E36001117","Aged 16-24",50
"Tanfield","E36001117","Aged 25-29",20
"Thornley","E36001118","Aged 16-24",50
"Thornley","E36001118","Aged 25-29",35
"Trimdon","E36001119","Aged 16-24",45
"Trimdon","E36001119","Aged 25-29",30
"Tudhoe","E36001120","Aged 16-24",55
"Tudhoe","E36001120","Aged 25-29",25
"Weardale","E36001121","Aged 16-24",15
"Weardale","E36001121","Aged 25-29",10
"West Auckland","E36001122","Aged 16-24",35
"West Auckland","E36001122","Aged 25-29",15
"Willington","E36001123","Aged 16-24",70
"Willington","E36001123","Aged 25-29",40
"Wingate","E36001124","Aged 16-24",50
"Wingate","E36001124","Aged 25-29",35
"Woodhouse Close","E36001125","Aged 16-24",85
"Woodhouse Close","E36001125","Aged 25-29",45
"Brus","E36000001","Aged 16-24",75
"Brus","E36000001","Aged 25-29",65
"Burn Valley","E36000002","Aged 16-24",65
"Burn Valley","E36000002","Aged 25-29",50
"Dyke House","E36000003","Aged 16-24",85
"Dyke House","E36000003","Aged 25-29",45
"Elwick","E36000004","Aged 16-24",5
"Elwick","E36000004","Aged 25-29",0
"Fens","E36000005","Aged 16-24",25
"Fens","E36000005","Aged 25-29",10
"Foggy Furze","E36000006","Aged 16-24",45
"Foggy Furze","E36000006","Aged 25-29",35
"Grange","E36000007","Aged 16-24",60
"Grange","E36000007","Aged 25-29",40
"Greatham","E36000008","Aged 16-24",10
"Greatham","E36000008","Aged 25-29",5
"Hart","E36000009","Aged 16-24",15
"Hart","E36000009","Aged 25-29",10
"Owton","E36000010","Aged 16-24",75
"Owton","E36000010","Aged 25-29",50
"Park","E36000011","Aged 16-24",20
"Park","E36000011","Aged 25-29",10
