"GEOGRAPHY_NAME","GEOGRAPHY_CODE","AGE_NAME","OBS_VALUE"
"Castle Donington","E36004129","Aged 25-29",15
"Coalville","E36004130","Aged 16-24",35
"Coalville","E36004130","Aged 25-29",15
"Greenhill","E36004131","Aged 16-24",35
"Greenhill","E36004131","Aged 25-29",25
"Hugglescote","E36004132","Aged 16-24",5
"Hugglescote","E36004132","Aged 25-29",5
"Ibstock and Heather","E36004133","Aged 16-24",10
"Ibstock and Heather","E36004133","Aged 25-29",20
"Kegworth and Whatton","E36004134","Aged 16-24",5
"Kegworth and Whatton","E36004134","Aged 25-29",0
"Measham","E36004135","Aged 16-24",15
"Measham","E36004135","Aged 25-29",5
"Moira","E36004136","Aged 16-24",15
"Moira","E36004136","Aged 25-29",0
"Oakthorpe and Donisthorpe","E36004137","Aged 16-24",5
"Oakthorpe and Donisthorpe","E36004137","Aged 25-29",0
"Ravenstone and Packington","E36004138","Aged 16-24",0
"Ravenstone and Packington","E36004138","Aged 25-29",5
"Snibston","E36004139","Aged 16-24",15
"Snibston","E36004139","Aged 25-29",10
"Thringstone","E36004140","Aged 16-24",10
"Thringstone","E36004140","Aged 25-29",5
"Valley","E36004141","Aged 16-24",5
"Valley","E36004141","Aged 25-29",5
"Whitwick","E36004142","Aged 16-24",10
"Whitwick","E36004142","Aged 25-29",5
"Oadby Brocks Hill","E36004143","Aged 16-24",5
"Oadby Brocks Hill","E36004143","Aged 25-29",5
"Oadby Grange","E36004144","Aged 16-24",10
"Oadby Grange","E36004144","Aged 25-29",5
"Oadby St Peter's","E36004145","Aged 16-24",5
"Oadby St Peter's","E36004145","Aged 25-29",5
"Oadby Uplands","E36004146","Aged 16-24",5
"Oadby Uplands","E36004146","Aged 25-29",5
"Oadby Woodlands","E36004147","Aged 16-24",5
"Oadby Woodlands","E36004147","Aged 25-29",5
"South Wigston","E36004148","Aged 16-24",20
"South Wigston","E36004148","Aged 25-29",20
"Wigston All Saints","E36004149","Aged 16-24",15
"Wigston All Saints","E36004149","Aged 25-29",5
"Wigston Fields","E36004150","Aged 16-24",15
"Wigston Fields","E36004150","Aged 25-29",20
"Wigston Meadowcourt","E36004151","Aged 16-24",5
"Wigston Meadowcourt","E36004151","Aged 25-29",15
"Wigston St Wolstan's","E36004152","Aged 16-24",5
"Wigston St Wolstan's","E36004152","Aged 25-29",10
"Central","E36004153","Aged 16-24",15
"Central","E36004153","Aged 25-29",15
"Coastal","E36004154","Aged 16-24",10
"Coastal","E36004154","Aged 25-29",5
"Fenside","E36004155","Aged 16-24",25
"Fenside","E36004155","Aged 25-29",20
"Fishtoft","E36004156","Aged 16-24",15
"Fishtoft","E36004156","Aged 25-29",5
"Five Village","E36004157","Aged 16-24",10
"Five Village","E36004157","Aged 25-29",5
"Frampton and Holme","E36004158","Aged 16-24",5
"Frampton and Holme","E36004158","Aged 25-29",0
"Kirton","E36004159","Aged 16-24",25
"Kirton","E36004159","Aged 25-29",10
"North","E36004160","Aged 16-24",5
"North","E36004160","Aged 25-29",5
"Old Leake and Wrangle","E36004161","Aged 16-24",10
"Old Leake and Wrangle","E36004161","Aged 25-29",5
"Pilgrim","E36004162","Aged 16-24",10
"Pilgrim","E36004162","Aged 25-29",5
"Skirbeck","E36004163","Aged 16-24",30
"Skirbeck","E36004163","Aged 25-29",10
"South","E36004164","Aged 16-24",10
"South","E36004164","Aged 25-29",0
"Staniland North","E36004165","Aged 16-24",5
"Staniland North","E36004165","Aged 25-29",5
"Staniland South","E36004166","Aged 16-24",20
"Staniland South","E36004166","Aged 25-29",5
"Swineshead and Holland Fen","E36004167","Aged 16-24",20
"Swineshead and Holland Fen","E36004167","Aged 25-29",10
"West","E36004168","Aged 16-24",5
"West","E36004168","Aged 25-29",0
"Witham","E36004169","Aged 16-24",30
"Witham","E36004169","Aged 25-29",15
"Wyberton","E36004170","Aged 16-24",15
"Wyberton","E36004170","Aged 25-29",5
"Alford","E36004171","Aged 16-24",25
"Alford","E36004171","Aged 25-29",10
"Binbrook","E36004172","Aged 16-24",5
"Binbrook","E36004172","Aged 25-29",0
"Burgh le Marsh","E36004173","Aged 16-24",5
"Burgh le Marsh","E36004173","Aged 25-29",0
"Chapel St Leonards","E36004174","Aged 16-24",10
"Chapel St Leonards","E36004174","Aged 25-29",15
"Coningsby and Tattershall","E36004175","Aged 16-24",10
"Coningsby and Tattershall","E36004175","Aged 25-29",5
"Croft","E36004176","Aged 16-24",5
"Croft","E36004176","Aged 25-29",5
"Frithville","E36004177","Aged 16-24",10
"Frithville","E36004177","Aged 25-29",5
"Grimoldby","E36004178","Aged 16-24",5
"Grimoldby","E36004178","Aged 25-29",5
"Halton Holegate","E36004179","Aged 16-24",5
"Halton Holegate","E36004179","Aged 25-29",5
"Holton le Clay","E36004180","Aged 16-24",5
"Holton le Clay","E36004180","Aged 25-29",0
"Horncastle","E36004181","Aged 16-24",30
"Horncastle","E36004181","Aged 25-29",15
"Hundleby","E36004182","Aged 16-24",5
"Hundleby","E36004182","Aged 25-29",0
"Ingoldmells","E36004183","Aged 16-24",10
"Ingoldmells","E36004183","Aged 25-29",10
"Legbourne","E36004184","Aged 16-24",5
"Legbourne","E36004184","Aged 25-29",0
"Ludford","E36004185","Aged 16-24",10
"Ludford","E36004185","Aged 25-29",0
"Mablethorpe Central","E36004186","Aged 16-24",10
"Mablethorpe Central","E36004186","Aged 25-29",5
"Mablethorpe East","E36004187","Aged 16-24",10
"Mablethorpe East","E36004187","Aged 25-29",5
"Mablethorpe North","E36004188","Aged 16-24",15
"Mablethorpe North","E36004188","Aged 25-29",10
"Mareham le Fen","E36004189","Aged 16-24",0
"Mareham le Fen","E36004189","Aged 25-29",0
"Marshchapel","E36004190","Aged 16-24",10
"Marshchapel","E36004190","Aged 25-29",0
"North Holme","E36004191","Aged 16-24",10
"North Holme","E36004191","Aged 25-29",5
"North Somercotes","E36004192","Aged 16-24",5
"North Somercotes","E36004192","Aged 25-29",5
"North Thoresby","E36004193","Aged 16-24",0
"North Thoresby","E36004193","Aged 25-29",0
"Priory","E36004194","Aged 16-24",10
"Priory","E36004194","Aged 25-29",10
"Roughton","E36004195","Aged 16-24",5
"Roughton","E36004195","Aged 25-29",0
"Scarbrough","E36004196","Aged 16-24",50
"Scarbrough","E36004196","Aged 25-29",35
"Seacroft","E36004197","Aged 16-24",15
"Seacroft","E36004197","Aged 25-29",5
"Sibsey","E36004198","Aged 16-24",5
"Sibsey","E36004198","Aged 25-29",0
"Skidbrooke with Saltfleet Haven","E36004199","Aged 16-24",5
"Skidbrooke with Saltfleet Haven","E36004199","Aged 25-29",0
"Spilsby","E36004200","Aged 16-24",10
"Spilsby","E36004200","Aged 25-29",10
"St Clement's","E36004201","Aged 16-24",25
"St Clement's","E36004201","Aged 25-29",15
"St James'","E36004202","Aged 16-24",10
"St James'","E36004202","Aged 25-29",5
"St Margaret's","E36004203","Aged 16-24",5
"St Margaret's","E36004203","Aged 25-29",5
"St Mary's","E36004204","Aged 16-24",0
"St Mary's","E36004204","Aged 25-29",5
"St Michael's","E36004205","Aged 16-24",5
"St Michael's","E36004205","Aged 25-29",5
"Stickney","E36004206","Aged 16-24",5
"Stickney","E36004206","Aged 25-29",5
"Sutton on Sea North","E36004207","Aged 16-24",5
"Sutton on Sea North","E36004207","Aged 25-29",0
"Sutton on Sea South","E36004208","Aged 16-24",5
"Sutton on Sea South","E36004208","Aged 25-29",5
"Tetford","E36004209","Aged 16-24",5
"Tetford","E36004209","Aged 25-29",0
"Tetney","E36004210","Aged 16-24",0
"Tetney","E36004210","Aged 25-29",0
"Trinity","E36004211","Aged 16-24",20
"Trinity","E36004211","Aged 25-29",10
"Trusthorpe and Mablethorpe South","E36004212","Aged 16-24",10
"Trusthorpe and Mablethorpe South","E36004212","Aged 25-29",0
"Wainfleet and Friskney","E36004213","Aged 16-24",15
"Wainfleet and Friskney","E36004213","Aged 25-29",10
"Willoughby with Sloothby","E36004214","Aged 16-24",5
"Willoughby with Sloothby","E36004214","Aged 25-29",5
"Winthorpe","E36004215","Aged 16-24",25
"Winthorpe","E36004215","Aged 25-29",20
"Withern with Stain","E36004216","Aged 16-24",5
"Withern with Stain","E36004216","Aged 25-29",0
"Woodhall Spa","E36004217","Aged 16-24",0
"Woodhall Spa","E36004217","Aged 25-29",5
"Wragby","E36004218","Aged 16-24",10
"Wragby","E36004218","Aged 25-29",5
"Abbey","E36004219","Aged 16-24",85
"Abbey","E36004219","Aged 25-29",75
"Birchwood","E36004220","Aged 16-24",70
"Birchwood","E36004220","Aged 25-29",30
"Boultham","E36004221","Aged 16-24",30
"Boultham","E36004221","Aged 25-29",25
"Bracebridge","E36004222","Aged 16-24",20
"Bracebridge","E36004222","Aged 25-29",15
"Carholme","E36004223","Aged 16-24",55
"Carholme","E36004223","Aged 25-29",35
"Castle","E36004224","Aged 16-24",35
"Castle","E36004224","Aged 25-29",40
"Glebe","E36004225","Aged 16-24",40
"Glebe","E36004225","Aged 25-29",30
"Hartsholme","E36004226","Aged 16-24",15
"Hartsholme","E36004226","Aged 25-29",10
"Minster","E36004227","Aged 16-24",40
"Minster","E36004227","Aged 25-29",25
"Moorland","E36004228","Aged 16-24",50
"Moorland","E36004228","Aged 25-29",40
"Park","E36004229","Aged 16-24",90
"Park","E36004229","Aged 25-29",40
"Ashby de la Launde and Cranwell","E36004230","Aged 16-24",5
"Ashby de la Launde and Cranwell","E36004230","Aged 25-29",5
"Bassingham and Brant Broughton","E36004231","Aged 16-24",5
"Bassingham and Brant Broughton","E36004231","Aged 25-29",5
"Billinghay, Martin and North Kyme","E36004232","Aged 16-24",20
"Billinghay, Martin and North Kyme","E36004232","Aged 25-29",10
"Bracebridge Heath and Waddington East","E36004233","Aged 16-24",15
"Bracebridge Heath and Waddington East","E36004233","Aged 25-29",20
"Branston","E36004234","Aged 16-24",5
"Branston","E36004234","Aged 25-29",10
"Cliff Villages","E36004235","Aged 16-24",5
"Cliff Villages","E36004235","Aged 25-29",0
"Eagle, Swinderby and Witham St Hughs","E36004236","Aged 16-24",10
"Eagle, Swinderby and Witham St Hughs","E36004236","Aged 25-29",5
"Heckington Rural","E36004237","Aged 16-24",15
"Heckington Rural","E36004237","Aged 25-29",5
"Heighington and Washingborough","E36004238","Aged 16-24",15
"Heighington and Washingborough","E36004238","Aged 25-29",5
"Kirkby la Thorpe and South Kyme","E36004239","Aged 16-24",5
"Kirkby la Thorpe and South Kyme","E36004239","Aged 25-29",5
"Leasingham and Rauceby","E36004240","Aged 16-24",5
"Leasingham and Rauceby","E36004240","Aged 25-29",5
"Metheringham","E36004241","Aged 16-24",15
"Metheringham","E36004241","Aged 25-29",5
"North Hykeham Forum","E36004242","Aged 16-24",5
"North Hykeham Forum","E36004242","Aged 25-29",0
"North Hykeham Memorial","E36004243","Aged 16-24",5
"North Hykeham Memorial","E36004243","Aged 25-29",5
"North Hykeham Mill","E36004244","Aged 16-24",15
"North Hykeham Mill","E36004244","Aged 25-29",10
"North Hykeham Moor","E36004245","Aged 16-24",10
"North Hykeham Moor","E36004245","Aged 25-29",0
"North Hykeham Witham","E36004246","Aged 16-24",10
"North Hykeham Witham","E36004246","Aged 25-29",0
"Osbournby","E36004247","Aged 16-24",5
"Osbournby","E36004247","Aged 25-29",0
"Ruskington","E36004248","Aged 16-24",20
"Ruskington","E36004248","Aged 25-29",10
"Skellingthorpe","E36004249","Aged 16-24",5
"Skellingthorpe","E36004249","Aged 25-29",5
"Sleaford Castle","E36004250","Aged 16-24",10
"Sleaford Castle","E36004250","Aged 25-29",0
"Sleaford Holdingham","E36004251","Aged 16-24",15
"Sleaford Holdingham","E36004251","Aged 25-29",10
"Sleaford Navigation","E36004252","Aged 16-24",15
"Sleaford Navigation","E36004252","Aged 25-29",15
"Sleaford Quarrington and Mareham","E36004253","Aged 16-24",20
"Sleaford Quarrington and Mareham","E36004253","Aged 25-29",10
"Sleaford Westholme","E36004254","Aged 16-24",20
"Sleaford Westholme","E36004254","Aged 25-29",5
"Waddington West","E36004255","Aged 16-24",0
"Waddington West","E36004255","Aged 25-29",0
"Crowland and Deeping St Nicholas","E36004256","Aged 16-24",20
"Crowland and Deeping St Nicholas","E36004256","Aged 25-29",5
"Donington, Quadring and Gosberton","E36004257","Aged 16-24",25
"Donington, Quadring and Gosberton","E36004257","Aged 25-29",5
"Fleet","E36004258","Aged 16-24",5
"Fleet","E36004258","Aged 25-29",5
"Gedney","E36004259","Aged 16-24",5
"Gedney","E36004259","Aged 25-29",5
"Holbeach Hurn","E36004260","Aged 16-24",5
"Holbeach Hurn","E36004260","Aged 25-29",0
"Holbeach Town","E36004261","Aged 16-24",30
"Holbeach Town","E36004261","Aged 25-29",15
"Long Sutton","E36004262","Aged 16-24",15
"Long Sutton","E36004262","Aged 25-29",10
"Moulton, Weston and Cowbit","E36004263","Aged 16-24",10
"Moulton, Weston and Cowbit","E36004263","Aged 25-29",0
"Pinchbeck and Surfleet","E36004264","Aged 16-24",20
"Pinchbeck and Surfleet","E36004264","Aged 25-29",10
"Spalding Castle","E36004265","Aged 16-24",10
"Spalding Castle","E36004265","Aged 25-29",5
"Spalding Monks House","E36004266","Aged 16-24",5
"Spalding Monks House","E36004266","Aged 25-29",5
"Spalding St John's","E36004267","Aged 16-24",20
"Spalding St John's","E36004267","Aged 25-29",10
"Spalding St Mary's","E36004268","Aged 16-24",10
"Spalding St Mary's","E36004268","Aged 25-29",15
"Spalding St Paul's","E36004269","Aged 16-24",20
"Spalding St Paul's","E36004269","Aged 25-29",10
"Spalding Wygate","E36004270","Aged 16-24",15
"Spalding Wygate","E36004270","Aged 25-29",10
"Sutton Bridge","E36004271","Aged 16-24",15
"Sutton Bridge","E36004271","Aged 25-29",10
"The Saints","E36004272","Aged 16-24",5
"The Saints","E36004272","Aged 25-29",5
"Whaplode and Holbeach St John's","E36004273","Aged 16-24",5
"Whaplode and Holbeach St John's","E36004273","Aged 25-29",5
"All Saints","E36004274","Aged 16-24",25
"All Saints","E36004274","Aged 25-29",10
"Aveland","E36004275","Aged 16-24",5
"Aveland","E36004275","Aged 25-29",5
"Barrowby","E36004276","Aged 16-24",5
"Barrowby","E36004276","Aged 25-29",0
"Belmont","E36004277","Aged 16-24",15
"Belmont","E36004277","Aged 25-29",5
"Bourne East","E36004278","Aged 16-24",20
"Bourne East","E36004278","Aged 25-29",15
"Bourne West","E36004279","Aged 16-24",20
"Bourne West","E36004279","Aged 25-29",5
"Deeping St James","E36004280","Aged 16-24",20
"Deeping St James","E36004280","Aged 25-29",10
"Earlesfield","E36004281","Aged 16-24",70
"Earlesfield","E36004281","Aged 25-29",35
"Ermine","E36004282","Aged 16-24",0
"Ermine","E36004282","Aged 25-29",0
"Forest","E36004283","Aged 16-24",5
"Forest","E36004283","Aged 25-29",0
"Glen Eden","E36004284","Aged 16-24",5
"Glen Eden","E36004284","Aged 25-29",0
"Grantham St John's","E36004285","Aged 16-24",40
"Grantham St John's","E36004285","Aged 25-29",25
"Green Hill","E36004286","Aged 16-24",10
"Green Hill","E36004286","Aged 25-29",5
"Greyfriars","E36004287","Aged 16-24",20
"Greyfriars","E36004287","Aged 25-29",15
"Harrowby","E36004288","Aged 16-24",40
"Harrowby","E36004288","Aged 25-29",15
"Heath","E36004289","Aged 16-24",5
"Heath","E36004289","Aged 25-29",0
"Hillsides","E36004290","Aged 16-24",5
"Hillsides","E36004290","Aged 25-29",0
"Isaac Newton","E36004291","Aged 16-24",5
"Isaac Newton","E36004291","Aged 25-29",5
"Lincrest","E36004292","Aged 16-24",5
"Lincrest","E36004292","Aged 25-29",0
"Loveden","E36004293","Aged 16-24",5
"Loveden","E36004293","Aged 25-29",0
"Market and West Deeping","E36004294","Aged 16-24",15
"Market and West Deeping","E36004294","Aged 25-29",10
"Morkery","E36004295","Aged 16-24",5
"Morkery","E36004295","Aged 25-29",5
"Peascliffe","E36004296","Aged 16-24",5
"Peascliffe","E36004296","Aged 25-29",0
"Ringstone","E36004297","Aged 16-24",5
"Ringstone","E36004297","Aged 25-29",5
"Saxonwell","E36004298","Aged 16-24",5
"Saxonwell","E36004298","Aged 25-29",0
"St Anne's","E36004299","Aged 16-24",30
"St Anne's","E36004299","Aged 25-29",20
"St George's","E36004300","Aged 16-24",10
"St George's","E36004300","Aged 25-29",5
"St Mary's","E36004301","Aged 16-24",10
"St Mary's","E36004301","Aged 25-29",10
"St Wulfram's","E36004302","Aged 16-24",5
"St Wulfram's","E36004302","Aged 25-29",10
"Stamford St John's","E36004303","Aged 16-24",5
"Stamford St John's","E36004303","Aged 25-29",10
"Thurlby","E36004304","Aged 16-24",5
"Thurlby","E36004304","Aged 25-29",0
"Toller","E36004305","Aged 16-24",0
"Toller","E36004305","Aged 25-29",0
"Truesdale","E36004306","Aged 16-24",5
"Truesdale","E36004306","Aged 25-29",5
"Witham Valley","E36004307","Aged 16-24",0
"Witham Valley","E36004307","Aged 25-29",0
"Bardney","E36004308","Aged 16-24",5
"Bardney","E36004308","Aged 25-29",5
"Caistor","E36004309","Aged 16-24",10
"Caistor","E36004309","Aged 25-29",5
"Cherry Willingham","E36004310","Aged 16-24",10
"Cherry Willingham","E36004310","Aged 25-29",5
"Dunholme","E36004311","Aged 16-24",5
"Dunholme","E36004311","Aged 25-29",5
"Fiskerton","E36004312","Aged 16-24",5
"Fiskerton","E36004312","Aged 25-29",5
"Gainsborough East","E36004313","Aged 16-24",75
"Gainsborough East","E36004313","Aged 25-29",40
"Gainsborough North","E36004314","Aged 16-24",65
"Gainsborough North","E36004314","Aged 25-29",40
"Gainsborough South-West","E36004315","Aged 16-24",75
"Gainsborough South-West","E36004315","Aged 25-29",60
"Hemswell","E36004316","Aged 16-24",5
"Hemswell","E36004316","Aged 25-29",10
"Kelsey","E36004317","Aged 16-24",5
"Kelsey","E36004317","Aged 25-29",0
"Lea","E36004318","Aged 16-24",5
"Lea","E36004318","Aged 25-29",0
"Market Rasen","E36004319","Aged 16-24",15
"Market Rasen","E36004319","Aged 25-29",20
"Middle Rasen","E36004320","Aged 16-24",5
"Middle Rasen","E36004320","Aged 25-29",5
"Nettleham","E36004321","Aged 16-24",10
"Nettleham","E36004321","Aged 25-29",5
"Saxilby","E36004322","Aged 16-24",5
"Saxilby","E36004322","Aged 25-29",5
"Scampton","E36004323","Aged 16-24",10
"Scampton","E36004323","Aged 25-29",5
"Scotter","E36004324","Aged 16-24",5
"Scotter","E36004324","Aged 25-29",5
"Stow","E36004325","Aged 16-24",10
"Stow","E36004325","Aged 25-29",5
"Sudbrooke","E36004326","Aged 16-24",0
"Sudbrooke","E36004326","Aged 25-29",0
"Thonock","E36004327","Aged 16-24",5
"Thonock","E36004327","Aged 25-29",5
"Torksey","E36004328","Aged 16-24",10
"Torksey","E36004328","Aged 25-29",5
"Waddingham and Spital","E36004329","Aged 16-24",5
"Waddingham and Spital","E36004329","Aged 25-29",5
"Welton","E36004330","Aged 16-24",10
"Welton","E36004330","Aged 25-29",5
"Wold View","E36004331","Aged 16-24",5
"Wold View","E36004331","Aged 25-29",5
"Yarborough","E36004332","Aged 16-24",5
"Yarborough","E36004332","Aged 25-29",0
"Beanfield","E36004538","Aged 16-24",10
"Beanfield","E36004538","Aged 25-29",15
"Central","E36004539","Aged 16-24",10
"Central","E36004539","Aged 25-29",20
"Danesholme","E36004540","Aged 16-24",30
"Danesholme","E36004540","Aged 25-29",15
"East","E36004541","Aged 16-24",35
"East","E36004541","Aged 25-29",30
"Exeter","E36004542","Aged 16-24",15
"Exeter","E36004542","Aged 25-29",15
"Great Oakley","E36004543","Aged 16-24",0
"Great Oakley","E36004543","Aged 25-29",0
"Kingswood","E36004544","Aged 16-24",70
"Kingswood","E36004544","Aged 25-29",60
"Lodge Park","E36004545","Aged 16-24",10
"Lodge Park","E36004545","Aged 25-29",5
"Oakley Vale","E36004546","Aged 16-24",20
"Oakley Vale","E36004546","Aged 25-29",20
"Rowlett","E36004547","Aged 16-24",15
"Rowlett","E36004547","Aged 25-29",15
"Rural West","E36004548","Aged 16-24",0
"Rural West","E36004548","Aged 25-29",0
"Shire Lodge","E36004549","Aged 16-24",15
"Shire Lodge","E36004549","Aged 25-29",15
"Stanion and Corby Village","E36004550","Aged 16-24",10
"Stanion and Corby Village","E36004550","Aged 25-29",15
"Tower Hill","E36004551","Aged 16-24",15
"Tower Hill","E36004551","Aged 25-29",5
"Weldon and Gretton","E36004552","Aged 16-24",10
"Weldon and Gretton","E36004552","Aged 25-29",5
"Abbey North","E36004553","Aged 16-24",50
"Abbey North","E36004553","Aged 25-29",25
"Abbey South","E36004554","Aged 16-24",15
"Abbey South","E36004554","Aged 25-29",10
"Badby","E36004555","Aged 16-24",5
"Badby","E36004555","Aged 25-29",0
"Barby and Kilsby","E36004556","Aged 16-24",5
"Barby and Kilsby","E36004556","Aged 25-29",0
"Boughton and Pitsford","E36004557","Aged 16-24",0
"Boughton and Pitsford","E36004557","Aged 25-29",0
"Brampton","E36004558","Aged 16-24",5
"Brampton","E36004558","Aged 25-29",0
"Braunston","E36004559","Aged 16-24",5
"Braunston","E36004559","Aged 25-29",5
"Brixworth","E36004560","Aged 16-24",5
"Brixworth","E36004560","Aged 25-29",5
"Byfield","E36004561","Aged 16-24",0
"Byfield","E36004561","Aged 25-29",5
"Clipston","E36004562","Aged 16-24",5
"Clipston","E36004562","Aged 25-29",0
"Crick","E36004563","Aged 16-24",5
"Crick","E36004563","Aged 25-29",5
"Drayton","E36004564","Aged 16-24",15
"Drayton","E36004564","Aged 25-29",20
"Flore","E36004565","Aged 16-24",5
"Flore","E36004565","Aged 25-29",0
"Hill","E36004566","Aged 16-24",45
"Hill","E36004566","Aged 25-29",25
"Long Buckby","E36004567","Aged 16-24",15
"Long Buckby","E36004567","Aged 25-29",5
"Moulton","E36004568","Aged 16-24",5
"Moulton","E36004568","Aged 25-29",5
"Ravensthorpe","E36004569","Aged 16-24",0
"Ravensthorpe","E36004569","Aged 25-29",0
"Spratton","E36004570","Aged 16-24",0
"Spratton","E36004570","Aged 25-29",0
"Walgrave","E36004571","Aged 16-24",5
"Walgrave","E36004571","Aged 25-29",0
"Weedon","E36004572","Aged 16-24",5
"Weedon","E36004572","Aged 25-29",5
"Welford","E36004573","Aged 16-24",0
"Welford","E36004573","Aged 25-29",5
"West Haddon and Guilsborough","E36004574","Aged 16-24",5
"West Haddon and Guilsborough","E36004574","Aged 25-29",0
"Woodford","E36004575","Aged 16-24",10
"Woodford","E36004575","Aged 25-29",0
"Yelvertoft","E36004576","Aged 16-24",0
"Yelvertoft","E36004576","Aged 25-29",5
"Barnwell","E36004577","Aged 16-24",0
"Barnwell","E36004577","Aged 25-29",0
"Fineshade","E36004578","Aged 16-24",5
"Fineshade","E36004578","Aged 25-29",0
"Higham Ferrers Chichele","E36004579","Aged 16-24",10
"Higham Ferrers Chichele","E36004579","Aged 25-29",5
"Higham Ferrers Lancaster","E36004580","Aged 16-24",10
"Higham Ferrers Lancaster","E36004580","Aged 25-29",5
"Irthlingborough John Pyel","E36004581","Aged 16-24",10
"Irthlingborough John Pyel","E36004581","Aged 25-29",10
"Irthlingborough Waterloo","E36004582","Aged 16-24",5
"Irthlingborough Waterloo","E36004582","Aged 25-29",5
"King's Forest","E36004583","Aged 16-24",5
"King's Forest","E36004583","Aged 25-29",0
"Lower Nene","E36004584","Aged 16-24",0
"Lower Nene","E36004584","Aged 25-29",0
"Lyveden","E36004585","Aged 16-24",0
"Lyveden","E36004585","Aged 25-29",5
"Oundle","E36004586","Aged 16-24",10
"Oundle","E36004586","Aged 25-29",5
"Prebendal","E36004587","Aged 16-24",5
"Prebendal","E36004587","Aged 25-29",0
"Raunds Saxon","E36004588","Aged 16-24",10
"Raunds Saxon","E36004588","Aged 25-29",0
"Raunds Windmill","E36004589","Aged 16-24",5
"Raunds Windmill","E36004589","Aged 25-29",5
"Rushden Bates","E36004590","Aged 16-24",10
"Rushden Bates","E36004590","Aged 25-29",5
"Rushden Hayden","E36004591","Aged 16-24",35
"Rushden Hayden","E36004591","Aged 25-29",25
"Rushden Pemberton","E36004592","Aged 16-24",20
"Rushden Pemberton","E36004592","Aged 25-29",10
"Rushden Sartoris","E36004593","Aged 16-24",10
"Rushden Sartoris","E36004593","Aged 25-29",0
"Rushden Spencer","E36004594","Aged 16-24",20
"Rushden Spencer","E36004594","Aged 25-29",5
"Stanwick","E36004595","Aged 16-24",0
"Stanwick","E36004595","Aged 25-29",0
"Thrapston Lakes","E36004596","Aged 16-24",10
"Thrapston Lakes","E36004596","Aged 25-29",0
"Thrapston Market","E36004597","Aged 16-24",10
"Thrapston Market","E36004597","Aged 25-29",5
"Woodford","E36004598","Aged 16-24",5
"Woodford","E36004598","Aged 25-29",5
"All Saints","E36004599","Aged 16-24",35
"All Saints","E36004599","Aged 25-29",25
"Avondale Grange","E36004600","Aged 16-24",40
"Avondale Grange","E36004600","Aged 25-29",30
"Barton","E36004601","Aged 16-24",10
"Barton","E36004601","Aged 25-29",5
"Brambleside","E36004602","Aged 16-24",10
"Brambleside","E36004602","Aged 25-29",5
"Burton Latimer","E36004603","Aged 16-24",15
"Burton Latimer","E36004603","Aged 25-29",10
"Desborough Loatland","E36004604","Aged 16-24",15
"Desborough Loatland","E36004604","Aged 25-29",10
"Desborough St Giles","E36004605","Aged 16-24",15
"Desborough St Giles","E36004605","Aged 25-29",5
"Ise Lodge","E36004606","Aged 16-24",10
"Ise Lodge","E36004606","Aged 25-29",10
"Northfield","E36004607","Aged 16-24",15
"Northfield","E36004607","Aged 25-29",5
"Pipers Hill","E36004608","Aged 16-24",30
"Pipers Hill","E36004608","Aged 25-29",10
"Queen Eleanor and Buccleuch","E36004609","Aged 16-24",0
"Queen Eleanor and Buccleuch","E36004609","Aged 25-29",5
"Rothwell","E36004610","Aged 16-24",20
"Rothwell","E36004610","Aged 25-29",5
"Slade","E36004611","Aged 16-24",10
"Slade","E36004611","Aged 25-29",5
"St Michael's and Wicksteed","E36004612","Aged 16-24",40
"St Michael's and Wicksteed","E36004612","Aged 25-29",20
"St Peter's","E36004613","Aged 16-24",10
"St Peter's","E36004613","Aged 25-29",5
"Welland","E36004614","Aged 16-24",0
"Welland","E36004614","Aged 25-29",0
"William Knibb","E36004615","Aged 16-24",45
"William Knibb","E36004615","Aged 25-29",30
"Abington","E36004616","Aged 16-24",40
"Abington","E36004616","Aged 25-29",25
"Billing","E36004617","Aged 16-24",20
"Billing","E36004617","Aged 25-29",15
"Boothville","E36004618","Aged 16-24",5
"Boothville","E36004618","Aged 25-29",0
"Brookside","E36004619","Aged 16-24",30
"Brookside","E36004619","Aged 25-29",15
"Castle","E36004620","Aged 16-24",90
"Castle","E36004620","Aged 25-29",55
"Delapre and Briar Hill","E36004621","Aged 16-24",40
"Delapre and Briar Hill","E36004621","Aged 25-29",25
"East Hunsbury","E36004622","Aged 16-24",10
"East Hunsbury","E36004622","Aged 25-29",5
"Eastfield","E36004623","Aged 16-24",30
"Eastfield","E36004623","Aged 25-29",20
"Headlands","E36004624","Aged 16-24",20
"Headlands","E36004624","Aged 25-29",15
"Kings Heath","E36004625","Aged 16-24",30
"Kings Heath","E36004625","Aged 25-29",25
"Kingsley","E36004626","Aged 16-24",15
"Kingsley","E36004626","Aged 25-29",10
"Kingsthorpe","E36004627","Aged 16-24",0
"Kingsthorpe","E36004627","Aged 25-29",5
"Nene Valley","E36004628","Aged 16-24",20
"Nene Valley","E36004628","Aged 25-29",5
"New Duston","E36004629","Aged 16-24",15
"New Duston","E36004629","Aged 25-29",5
"Obelisk","E36004630","Aged 16-24",5
"Obelisk","E36004630","Aged 25-29",5
"Old Duston","E36004631","Aged 16-24",10
"Old Duston","E36004631","Aged 25-29",10
"Park","E36004632","Aged 16-24",5
