"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","GENDER","GENDER_NAME","GENDER_CODE","GENDER_TYPE","GENDER_TYPECODE","GENDER_SORTORDER","AGE","AGE_NAME","AGE_CODE","AGE_TYPE","AGE_TYPECODE","AGE_SORTORDER","MEASURE","MEASURE_NAME","MEASURE_CODE","MEASURE_TYPE","MEASURE_TYPECODE","MEASURE_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2019-09","September 2019","2019-09","date",0,0,"989855849","Middleton St George","E36000105","2011 census frozen wards",236,16,"0","Total","0","Sex",1000,0,"2","Aged 16-24","2","Ageband",2000,0,"1","Claimant count","1","measures",1000,0,"20100","Value",5,"A","Normal Value","F","Free (free for publication)","Nm-162d1d32313e0d989855849d0d0d2d1d20100",16,9481
"2019-09","September 2019","2019-09","date",0,0,"989855850","Mowden","E36000106","2011 census frozen wards",236,17,"0","Total","0","Sex",1000,0,"2","Aged 16-24","2","Ageband",2000,0,"1","Claimant count","1","measures",1000,0,"20100","Value",5,"A","Normal Value","F","Free (free for publication)","Nm-162d1d32313e0d989855850d0d0d2d1d20100",17,9481
"2019-09","September 2019","2019-09","date",0,0,"989855851","North Road","E36000107","2011 census frozen wards",236,18,"0","Total","0","Sex",1000,0,"2","Aged 16-24","2","Ageband",2000,0,"1","Claimant count","1","measures",1000,0,"20100","Value",70,"A","Normal Value","F","Free (free for publication)","Nm-162d1d32313e0d989855851d0d0d2d1d20100",18,9481
"2019-09","September 2019","2019-09","date",0,0,"989855852","Northgate","E36000108","2011 census frozen wards",236,19,"0","Total","0","Sex",1000,0,"2","Aged 16-24","2","Ageband",2000,0,"1","Claimant count","1","measures",1000,0,"20100","Value",55,"A","Normal Value","F","Free (free for publication)","Nm-162d1d32313e0d989855852d0d0d2d1d20100",19,9481
"2019-09","September 2019","2019-09","date",0,0,"989855853","Park East","E36000109","2011 census frozen wards",236,20,"0","Total","0","Sex",1000,0,"2","Aged 16-24","2","Ageband",2000,0,"1","Claimant count","1","measures",1000,0,"20100","Value",65,"A","Normal Value","F","Free (free for publication)","Nm-162d1d32313e0d989855853d0d0d2d1d20100",20,9481
"2019-09","September 2019","2019-09","date",0,0,"989855854","Park West","E36000110","2011 census frozen wards",236,21,"0","Total","0","Sex",1000,0,"2","Aged 16-24","2","Ageband",2000,0,"1","Claimant count","1","measures",1000,0,"20100","Value",10,"A","Normal Value","F","Free (free for publication)","Nm-162d1d32313e0d989855854d0d0d2d1d20100",21,9481
"2019-09","September 2019","2019-09","date",0,0,"989855855","Pierremont","E36000111","2011 census frozen wards",236,22,"0","Total","0","Sex",1000,0,"2","Aged 16-24","2","Ageband",2000,0,"1","Claimant count","1","measures",1000,0,"20100","Value",35,"A","Normal Value","F","Free (free for publication)","Nm-162d1d32313e0d989855855d0d0d2d1d20100",22,9481
"2019-09","September 2019","2019-09","date",0,0,"989855856","Sadberge and Whessoe","E36000112","2011 census frozen wards",236,23,"0","Total","0","Sex",1000,0,"2","Aged 16-24","2","Ageband",2000,0,"1","Claimant count","1","measures",1000,0,"20100","Value",5,"A","Normal Value","F","Free (free for publication)","Nm-162d1d32313e0d989855856d0d0d2d1d20100",23,9481
"2019-09","September 2019","2019-09","date",0,0,"989856807","Annfield Plain","E36001063","2011 census frozen wards",236,24,"0","Total","0","Sex",1000,0,"2","Aged 16-24","2","Ageband",2000,0,"1","Claimant count","1","measures",1000,0,"20100","Value",60,"A","Normal Value","F","Free (free for publication)","Nm-162d1d32313e0d989856807d0d0d2d1d20100",24,9481
"2019-09","September 2019","2019-09","date",0,0,"989856808","Aycliffe East","E36001064","2011 census frozen wards",236,25,"0","Total","0","Sex",1000,0,"2","Aged 16-24","2","Ageband",2000,0,"1","Claimant count","1","measures",1000,0,"20100","Value",30,"A","Normal Value","F","Free (free for publication)","Nm-162d1d32313e0d989856808d0d0d2d1d20100",25,9481
"2019-09","September 2019","2019-09","date",0,0,"989856809","Aycliffe North","E36001065","2011 census frozen wards",236,26,"0","Total","0","Sex",1000,0,"2","Aged 16-24","2","Ageband",2000,0,"1","Claimant count","1","measures",1000,0,"20100","Value",40,"A","Normal Value","F","Free (free for publication)","Nm-162d1d32313e0d989856809d0d0d2d1d20100",26,9481
"2019-09","September 2019","2019-09","date",0,0,"989856810","Aycliffe West","E36001066","2011 census frozen wards",236,27,"0","Total","0","Sex",1000,0,"2","Aged 16-24","2","Ageband",2000,0,"1","Claimant count","1","measures",1000,0,"20100","Value",60,"A","Normal Value","F","Free (free for publication)","Nm-162d1d32313e0d989856810d0d0d2d1d20100",27,9481
"2019-09","September 2019","2019-09","date",0,0,"989856811","Barnard Castle East","E36001067","2011 census frozen wards",236,28,"0","Total","0","Sex",1000,0,"2","Aged 16-24","2","Ageband",2000,0,"1","Claimant count","1","measures",1000,0,"20100","Value",25,"A","Normal Value","F","Free (free for publication)","Nm-162d1d32313e0d989856811d0d0d2d1d20100",28,9481
"2019-09","September 2019","2019-09","date",0,0,"989856812","Barnard Castle West","E36001068","2011 census frozen wards",236,29,"0","Total","0","Sex",1000,0,"2","Aged 16-24","2","Ageband",2000,0,"1","Claimant count","1","measures",1000,0,"20100","Value",10,"A","Normal Value","F","Free (free for publication)","Nm-162d1d32313e0d989856812d0d0d2d1d20100",29,9481
"2019-09","September 2019","2019-09","date",0,0,"989856813","Belmont","E36001069","2011 census frozen wards",236,30,"0","Total","0","Sex",1000,0,"2","Aged 16-24","2","Ageband",2000,0,"1","Claimant count","1","measures",1000,0,"20100","Value",15,"A","Normal Value","F","Free (free for publication)","Nm-162d1d32313e0d989856813d0d0d2d1d20100",30,9481
