GEOGRAPHY_NAME,OBS_VALUE
Meadowhead,45
Mill Hill,15
North Turton with Tockholes,15
Queen's Park,35
Roe Lee,45
Shadsworth with Whitebirk,0
Shear Brow,40
Sudell,20
Sunnyhurst,75
Wensley Fold,45
Whitehall,65
Anchorsholme,35
Bispham,80
Bloomfield,10
Brunswick,10
Claremont,15
Clifton,95
Greenlands,60
Hawes Side,105
Highfield,30
Ingthorpe,20
Layton,35
Norbreck,10
Squires Gate,30
Talbot,30
Tyldesley,10
Victoria,5
Warbreck,70
Waterloo,20
Alderley Edge,10
Alsager,80
Audlem,40
Bollington,45
Brereton Rural,35
Broken Cross and Upton,55
Bunbury,5
Chelford,25
Congleton East,5
Congleton West,5
Crewe Central,10
Crewe East,20
Crewe North,5
Crewe South,5
Crewe St Barnabas,30
Crewe West,20
Dane Valley,65
Disley,65
Gawsworth,10
Handforth,55
Haslington,35
High Legh,45
Knutsford,5
Leighton,5
Macclesfield Central,5
Macclesfield East,25
Macclesfield Hurdsfield,5
Macclesfield South,0
Macclesfield Tytherington,15
Macclesfield West and Ivy,5
Middlewich,25
Mobberley,10
Nantwich North and West,15
Nantwich South and Stapeley,30
Odd Rode,10
Poynton East and Pott Shrigley,20
Poynton West and Adlington,30
Prestbury,5
Sandbach Elworth,25
Sandbach Ettiley Heath and Wheelock,15
Sandbach Heath and East,10
Sandbach Town,5
Shavington,5
Sutton,0
Willaston and Rope,10
Wilmslow Dean Row,10
Wilmslow East,5
Wilmslow Lacey Green,5
Wilmslow West and Chorley,10
Wistaston,5
Wrenbury,5
Wybunbury,0
Blacon,0
Boughton,5
Chester City,5
Chester Villages,5
Davenham and Moulton,5
Dodleston and Huntington,5
Ellesmere Port Town,130
Elton,20
Farndon,15
Frodsham,15
Garden Quarter,15
Gowy,5
Great Boughton,90
Handbridge Park,10
Hartford and Greenbank,5
Helsby,15
Hoole,30
Kingsley,0
Lache,45
Ledsham and Manor,10
Little Neston and Burton,10
Malpas,20
Marbury,5
Neston,30
Netherpool,0
Newton,30
Parkgate,5
Rossmore,10
Saughall and Mollington,5
Shakerley,20
St Paul's,15
Strawberry,25
Tarporley,25
Tarvin and Kelsall,0
Tattenhall,40
Upton,5
Weaver and Cuddington,10
Whitby,40
Willaston and Thornton,5
Winnington and Castle,30
Winsford Over and Verdin,0
Winsford Swanlow and Dene,5
Winsford Wharton,5
Witton and Rudheath,25
Appleton,20
Birchfield,20
Broadheath,0
Daresbury,45
Ditton,85
Farnworth,40
Hale,45
Halton Brook,25
Halton Castle,30
Halton Lea,5
Halton View,15
Heath,20
Hough Green,5
Kingsway,35
Mersey,15
Windmill Hill,65
Bewsey and Whitecross,0
Birchwood,35
Burtonwood and Winwick,55
"Culcheth, Glazebury and Croft",60
Fairfield and Howley,35
Grappenhall and Thelwall,15
Great Sankey North,50
Great Sankey South,50
"Hatton, Stretton and Walton",35
Latchford East,30
Latchford West,50
Lymm,45
Orford,25
Penketh and Cuerdley,5
Poplars and Hulme,65
Poulton North,35
Poulton South,15
Rixton and Woolston,15
Stockton Heath,70
Westbrook,10
Whittle Hall,15
All Saints,30
Aspatria,5
Boltons,45
Broughton St Bridget's,20
Christchurch,15
Crummock,50
Dalton,10
Derwent Valley,65
Ellen,40
Ellenborough,10
Ewanrigg,15
Flimby,10
Harrington,5
Holme,30
Keswick,5
Marsh,5
Moorclose,0
Moss Bay,5
Netherhall,5
Silloth,5
Solway,0
St John's,0
Stainburn,0
Wampool,5
Warnell,15
Waver,25
Wharrels,5
Wigton,5
Barrow Island,5
Dalton North,0
Dalton South,0
Hawcoat,45
Hindpool,45
Newbarns,25
Ormsgill,10
Parkside,5
Risedale,0
Roosecote,20
Walney North,45
Walney South,5
Belah,5
Belle Vue,0
Botcherby,0
Brampton,0
Burgh,20
Currock,15
Dalston,50
Denton Holme,20
Great Corby and Geltsdale,25
Harraby,5
Hayton,55
Irthing,20
Longtown & Rockcliffe,35
Lyne,20
Morton,35
St Aidans,5
Stanwix Rural,10
Stanwix Urban,10
Upperby,15
Wetheral,30
Yewdale,35
Arlecdon,10
Beckermet,0
Bootle,50
Bransty,20
Cleator Moor North,15
Cleator Moor South,25
Distington,0
Egremont North,15
Egremont South,5
Ennerdale,5
Frizington,10
Gosforth,0
Harbour,25
Haverigg,35
Hensingham,5
Hillcrest,5
Holborn Hill,25
Kells,5
Millom Without,10
Mirehouse,5
Moresby,5
Sandwith,0
Seascale,15
St Bees,15
Alston Moor,15
Appleby (Appleby),15
Appleby (Bongate),20
Askham,15
Brough,0
Crosby Ravensworth,10
Dacre,0
Eamont,40
Greystoke,5
Hartside,10
Hesket,5
