E05001465,20
E05001466,40
E05001467,5
E05001468,20
E05001469,5
E05001470,25
E05001471,0
E05001472,15
E05001473,20
E05001474,5
E05001475,10
E05001476,5
E05001477,0
E05001479,5
E05001478,20
E05001480,20
E05001481,10
E05001482,0
E05001483,40
E05001484,40
E05001485,25
E05001486,5
E05001487,20
E05001488,5
E05001489,45
E05001490,25
E05001491,20
E05001492,40
E05001493,10
E05001495,5
E05001496,5
E05001497,15
E05001494,30
E05001498,45
E05001499,35
E05001500,10
E05001501,15
E05001502,10
E05001503,40
E05001504,50
E05001505,30
E05001506,45
E05001507,25
E05001508,45
E05001509,30
E05001510,40
E05001511,50
E05001512,25
E05001513,40
E05001514,35
E05001515,20
E05001516,50
E05001517,10
E05001518,15
E05001520,10
E05001521,45
E05001522,15
E05001519,25
E05001523,70
E05001524,10
E05001525,25
E05001526,20
E05001527,30
E05001528,5
E05001529,10
E05001530,20
E05001531,20
E05001532,55
E05001533,25
E05001534,20
E05001535,10
E05001536,5
E05001537,20
E05001538,40
E05001539,35
E05001540,40
E05001541,25
E05001542,50
E05001543,20
E05001544,35
E05001545,30
E05001546,25
E05001547,10
E05001548,15
E05001549,40
E05001550,35
E05001551,45
E05001552,65
E05001553,50
E05001554,45
E05001555,0
E05001556,10
E05001557,35
E05001558,40
E05001559,5
E05001560,10
E05001561,50
E05001562,10
E05001563,25
E05001564,15
E05001565,10
E05001566,25
E05001567,60
E05001568,20
E05001569,15
E05001570,35
E05001571,30
E05001572,30
E05001573,10
E05001574,25
E05001575,25
E05001576,105
E05001577,30
E05001578,5
E05001579,20
E05001580,30
E05001582,0
E05001583,5
E05001584,50
E05001585,70
E05001586,0
E05001587,40
E05001581,25
E05001588,40
E05001589,5
E05001590,55
E05001591,50
E05001592,10
E05001593,15
E05001594,5
E05001595,35
E05001596,0
E05001597,10
E05001598,25
E05001599,10
E05001600,5
E05001601,10
E05001602,10
E05001603,10
E05001604,10
E05001605,0
E05001606,10
E05001607,15
E05001608,40
E05001609,0
E05001610,25
E05001611,15
E05001612,10
E05001613,5
E05001614,5
E05001615,10
E05001616,10
E05001617,40
E05001618,10
E05001619,10
E05001620,5
E05001621,5
E05001622,10
E05001623,5
E05001624,5
E05001625,55
E05001626,20
E05001627,5
E05001628,40
E05001629,25
E05001630,5
E05001631,0
E05001632,15
E05001633,5
E05001634,5
E05001635,10
E05001636,15
E05001637,30
E05001638,5
E05001639,5
E05001640,0
E05001641,5
E05001642,0
E05001643,5
E05001644,0
E05001645,15
E05001646,5
E05001647,5
E05001648,10
E05001649,25
E05001650,5
E05001651,10
E05001652,5
E05001653,0
E05001654,5
E05001655,5
E05001656,5
E05001657,10
E05001658,5
E05001659,35
E05001660,40
E05001661,30
E05001662,35
E05001663,50
E05001664,20
E05001665,10
E05001666,25
E05001667,10
E05001668,25
E05001669,10
E05001670,15
E05001671,20
E05001672,5
E05001673,10
E05001674,30
E05001675,50
E05001676,10
E05001677,20
E05001678,10
E05001679,5
E05001680,5
E05001681,25
E05001683,45
E05001684,10
E05001682,30
E05001685,0
E05001686,5
E05001687,10
E05001688,5
E05001689,5
E05001690,45
E05001691,5
E05001692,5
E05001693,10
E05001694,85
E05001695,65
E05001696,0
E05001697,25
E05001698,35
E05001699,5
E05001700,80
E05001701,35
E05001702,35
E05001703,95
E05001704,20
E05001706,5
E05001707,10
E05001708,20
E05001709,30
E05001705,40
E05001710,30
E05001711,30
E05001712,10
E05001713,60
E05001714,60
E05001715,15
E05001716,55
E05001717,45
E05001718,40
E05001719,60
E05001720,5
E05001721,15
E05001722,20
E05001723,60
E05001724,25
E05001725,25
E05001726,5
E05001727,35
E05001728,20
E05001729,90
E05001730,50
E05001731,115
E05001732,25
E05001733,10
E05001734,45
E05001735,15
E05001736,125
E05001737,45
E05001738,45
E05001739,55
E05001740,35
E05001741,40
E05001742,20
E05001743,0
E05001744,55
E05001745,5
E05001746,50
E05001747,25
E05001748,105
E05001749,50
E05001750,5
E05001751,15
E05001752,65
E05001753,100
E05001754,65
E05001755,30
E05001756,10
E05001757,25
E05001758,60
E05001759,30
E05001760,10
E05001761,55
E05001762,15
E05001763,30
E05001764,5
E05001765,15
E05001766,15
E05001767,20
E05001768,85
E05001769,0
E05001770,20
E05001771,30
