GEOGRAPHY_CODE,OBS_VALUE,,,,,,,,GEOGRAPHY_NAME
E05001568,20,,,,,The Vow,95EE16,5,Lingfield
E05001569,5,,,,,Ballydown,95FF01,10,Middleton St George
E05001570,5,,,,,Ballyward,95FF02,10,Mowden
E05001571,70,,,,,Banbridge West,95FF03,5,North Road
E05001572,55,,,,,Bannside,95FF04,0,Northgate
E05001573,65,,,,,Dromore North,95FF05,10,Park East
E05001574,10,,,,,Dromore South,95FF06,10,Park West
E05001575,35,,,,,Edenderry (Banbridge LGD),95FF07,10,Pierremont
E05001576,5,,,,,Fort,95FF08,10,Sadberge and Whessoe
E05001577,30,,,,,Gilford,95FF09,10,Appleton
E05001578,5,,,,,Gransha,95FF10,5,Beechwood
E05001579,15,,,,,Katesbridge,95FF11,0,Birchfield
E05001580,20,,,,,Lawrencetown,95FF12,5,Broadheath
E05001582,5,,,,,Loughbrickland,95FF13,0,Daresbury
E05001583,35,,,,,Quilly,95FF14,5,Ditton
E05001584,15,,,,,Rathfriland,95FF15,10,Farnworth
E05001585,65,,,,,Seapatrick,95FF16,5,Grange
E05001586,0,,,,,The Cut,95FF17,10,Hale
E05001587,35,,,,,Andersonstown,95GG01,20,Halton Brook
E05001581,55,,,,,Ardoyne,95GG02,20,Halton Castle
E05001588,60,,,,,Ballyhackamore,95GG03,10,Halton Lea
E05001589,35,,,,,Ballymacarrett,95GG04,30,Halton View
E05001590,15,,,,,Ballynafeigh,95GG05,15,Heath
E05001591,50,,,,,Ballysillan,95GG06,10,Hough Green
E05001592,50,,,,,Beechmount,95GG07,30,Kingsway
E05001593,35,,,,,Bellevue,95GG08,25,Mersey
E05001594,30,,,,,Belmont,95GG09,20,Norton North
E05001595,50,,,,,Blackstaff,95GG10,15,Norton South
E05001596,45,,,,,Bloomfield (Belfast LGD),95GG11,15,Riverside
E05001597,25,,,,,Botanic,95GG12,50,Windmill Hill
E05001598,5,,,,,Castleview,95GG13,5,Appleton
E05001599,65,,,,,Cavehill,95GG14,0,Bewsey and Whitecross
E05001600,35,,,,,Cherryvalley,95GG15,5,Birchwood
E05001601,15,,,,,Chichester Park,95GG16,5,Burtonwood and Winwick
E05001602,15,,,,,Cliftonville,95GG17,10,"Culcheth, Glazebury and Croft"
E05001603,70,,,,,Clonard,95GG18,35,Fairfield and Howley
E05001604,10,,,,,Crumlin (Belfast LGD),95GG19,40,Grappenhall and Thelwall
E05001605,15,,,,,Duncairn,95GG20,15,Great Sankey North
E05001606,30,,,,,Falls,95GG21,40,Great Sankey South
E05001607,5,,,,,Falls Park,95GG22,25,"Hatton, Stretton and Walton"
