GEOGRAPHY_CODE,OBS_VALUE,,,,,,,,GEOGRAPHY_NAME
E05002642,5,,,,,,,,Holmer Green
E05002643,5,,,,,,,,Little Chalfont
E05002644,0,,,,,,,,Little Missenden
E05002645,5,,,,,,,,Newtown
E05002646,5,,,,,,,,Penn and Coleshill
E05002647,5,,,,,,,,Prestwood and Heath End
E05002648,15,,,,,,,,Ridgeway
E05002649,0,,,,,,,,Seer Green
E05002650,15,,,,,,,,St Mary's and Waterside
E05002651,10,,,,,,,,Vale
E05002653,5,,,,,,,,Beaconsfield North
E05002652,5,,,,,,,,Beaconsfield South
E05002654,5,,,,,,,,Beaconsfield West
E05002655,0,,,,,,,,Burnham Beeches
E05002656,15,,,,,,,,Burnham Church
E05002657,5,,,,,,,,Burnham Lent Rise
E05002658,5,,,,,,,,Denham North
E05002659,10,,,,,,,,Denham South
E05002660,0,,,,,,,,Dorney and Burnham South
E05002661,5,,,,,,,,Farnham Royal
E05002662,0,,,,,,,,Gerrards Cross East and Denham South West
E05002663,0,,,,,,,,Gerrards Cross North
E05002664,0,,,,,,,,Gerrards Cross South
E05002665,5,,,,,,,,Hedgerley and Fulmer
E05002666,5,,,,,,,,Iver Heath
E05002667,10,,,,,,,,Iver Village and Richings Park
E05002668,5,,,,,,,,Stoke Poges
E05002669,0,,,,,,,,Taplow
E05002670,5,,,,,,,,Wexham and Iver West
E05002671,20,,,,,,,,Abbey
E05002672,5,,,,,,,,Bledlow and Bradenham
E05002673,20,,,,,,,,Booker and Cressex
E05002674,0,,,,,,,,Bourne End-cum-Hedsor
E05002675,15,,,,,,,,Bowerdean
E05002676,10,,,,,,,,Chiltern Rise
E05002677,20,,,,,,,,Disraeli
E05002678,10,,,,,,,,Downley and Plomer Hill
E05002679,5,,,,,,,,Flackwell Heath and Little Marlow
E05002680,0,,,,,,,,Greater Hughenden
E05002681,0,,,,,,,,Greater Marlow
E05002682,0,,,,,,,,Hambleden Valley
E05002683,5,,,,,,,,Hazlemere North
E05002684,0,,,,,,,,Hazlemere South
E05002685,0,,,,,,,,Icknield
E05002686,0,,,,,,,,"Lacey Green, Speen and the Hampdens"
E05002687,5,,,,,,,,Marlow North and West
E05002688,5,,,,,,,,Marlow South East
E05002689,20,,,,,,,,Micklefield
E05002690,40,,,,,,,,Oakridge and Castlefield
E05002691,15,,,,,,,,Ryemead
E05002692,15,,,,,,,,Sands
E05002693,5,,,,,,,,Stokenchurch and Radnage
E05002694,25,,,,,,,,Terriers and Amersham Hill
E05002695,10,,,,,,,,The Risboroughs
E05002696,5,,,,,,,,The Wooburns
E05002697,15,,,,,,,,Totteridge
E05002699,5,,,,,,,,Tylers Green and Loudwater
E05002700,25,,,,,,,,Abbey
E05002698,25,,,,,,,,Arbury
E05002701,5,,,,,,,,Castle
E05002702,10,,,,,,,,Cherry Hinton
E05002703,25,,,,,,,,Coleridge
E05002704,25,,,,,,,,East Chesterton
E05002705,25,,,,,,,,King's Hedges
E05002706,0,,,,,,,,Market
E05002707,5,,,,,,,,Newnham
E05002708,15,,,,,,,,Petersfield
E05002709,10,,,,,,,,Queen Edith's
E05002710,10,,,,,,,,Romsey
E05002711,40,,,,,,,,Trumpington
E05002712,20,,,,,,,,West Chesterton
E05002713,0,,,,,,,,Bottisham
E05002714,5,,,,,,,,Burwell
E05002715,5,,,,,,,,Cheveley
E05002716,5,,,,,,,,Downham Villages
E05002717,0,,,,,,,,Dullingham Villages
E05002718,5,,,,,,,,Ely East
E05002719,5,,,,,,,,Ely North
E05002720,15,,,,,,,,Ely South
E05002721,5,,,,,,,,Ely West
E05002722,10,,,,,,,,Fordham Villages
E05002723,5,,,,,,,,Haddenham
E05002724,5,,,,,,,,Isleham
E05002725,10,,,,,,,,Littleport East
E05002726,10,,,,,,,,Littleport West
E05002727,10,,,,,,,,Soham North
E05002728,10,,,,,,,,Soham South
E05002729,5,,,,,,,,Stretham
E05002730,0,,,,,,,,Sutton
E05002731,0,,,,,,,,The Swaffhams
E05002732,5,,,,,,,,Bassenhally
E05002733,10,,,,,,,,"Benwick, Coates and Eastrea"
E05002734,5,,,,,,,,Birch
E05002735,10,,,,,,,,Clarkson
E05002736,0,,,,,,,,Delph
E05002737,5,,,,,,,,Doddington
E05002738,10,,,,,,,,Elm and Christchurch
E05002739,20,,,,,,,,Hill
E05002740,10,,,,,,,,Kingsmoor
E05002741,5,,,,,,,,Kirkgate
E05002742,10,,,,,,,,Lattersey
E05002743,5,,,,,,,,Manea
E05002744,25,,,,,,,,March East
E05002745,35,,,,,,,,March North
E05002746,15,,,,,,,,March West
E05002747,15,,,,,,,,Medworth
E05002748,20,,,,,,,,Parson Drove and Wisbech St Mary
E05002749,15,,,,,,,,Peckover
E05002750,25,,,,,,,,Roman Bank
E05002751,10,,,,,,,,Slade Lode
E05002752,5,,,,,,,,St Andrews
E05002753,5,,,,,,,,St Marys
E05002756,20,,,,,,,,Staithe
E05002754,5,,,,,,,,The Mills
E05002755,35,,,,,,,,Waterlees
E05002757,5,,,,,,,,Wenneye
E05002758,10,,,,,,,,Wimblington
E05002759,5,,,,,,,,Alconbury and The Stukeleys
E05002760,5,,,,,,,,Brampton
E05002761,0,,,,,,,,Buckden
E05008525,5,,,,,,,,Earith
E05002763,5,,,,,,,,Ellington
E05008526,0,,,,,,,,Elton and Folksworth
E05008527,5,,,,,,,,Fenstanton
E05008576,10,,,,,,,,Godmanchester
E05002767,0,,,,,,,,Gransden and The Offords
E05008577,15,,,,,,,,Huntingdon East
E05002769,45,,,,,,,,Huntingdon North
E05008528,15,,,,,,,,Huntingdon West
E05002771,0,,,,,,,,Kimbolton and Staughton
E05002772,0,,,,,,,,Little Paxton
E05008529,20,,,,,,,,Ramsey
E05008578,5,,,,,,,,Sawtry
E05008579,10,,,,,,,,Somersham
E05008531,5,,,,,,,,St Ives East
E05002784,10,,,,,,,,St Ives South
E05008583,0,,,,,,,,St Ives West
E05002777,10,,,,,,,,St Neots Eaton Ford
E05008580,10,,,,,,,,St Neots Eaton Socon
E05002779,20,,,,,,,,St Neots Eynesbury
E05008581,30,,,,,,,,St Neots Priory Park
E05002781,5,,,,,,,,Stilton
E05008533,5,,,,,,,,The Hemingfords
E05008582,5,,,,,,,,Upwood and The Raveleys
E05002786,10,,,,,,,,Warboys and Bury
E05008535,30,,,,,,,,Yaxley and Farcet
E05008584,5,,,,,,,,Balsham
E05008537,5,,,,,,,,Bar Hill
E05002790,0,,,,,,,,Barton
E05002791,5,,,,,,,,Bassingbourn
E05002792,5,,,,,,,,Bourn
E05002793,0,,,,,,,,Caldecote
E05002794,0,,,,,,,,Comberton
E05002795,10,,,,,,,,Cottenham
E05002796,0,,,,,,,,Duxford
E05002797,0,,,,,,,,Fowlmere and Foxton
E05002798,10,,,,,,,,Fulbourn
E05002799,5,,,,,,,,Gamlingay
E05002800,0,,,,,,,,Girton
E05002801,0,,,,,,,,Hardwick
E05002802,0,,,,,,,,Harston and Hauxton
E05002803,10,,,,,,,,Haslingfield and The Eversdens
E05002804,15,,,,,,,,Histon and Impington
E05002805,5,,,,,,,,Linton
E05002806,5,,,,,,,,Longstanton
E05002807,5,,,,,,,,Melbourn
E05002808,5,,,,,,,,Meldreth
E05002809,0,,,,,,,,Milton
E05002810,0,,,,,,,,Orwell and Barrington
E05002811,10,,,,,,,,Papworth and Elsworth
E05002812,10,,,,,,,,Sawston
E05002813,0,,,,,,,,Swavesey
E05002814,0,,,,,,,,Teversham
E05002815,0,,,,,,,,The Abingtons
E05002816,0,,,,,,,,The Mordens
E05002817,0,,,,,,,,The Shelfords and Stapleford
E05002818,5,,,,,,,,The Wilbrahams
E05002819,5,,,,,,,,Waterbeach
E05002820,0,,,,,,,,Whittlesford
E05002821,5,,,,,,,,Willingham and Over
E05002822,5,,,,,,,,All Saints
E05002823,5,,,,,,,,Aspatria
E05002824,0,,,,,,,,Boltons
E05003114,5,,,,,,,,Broughton St Bridget's
E05003115,5,,,,,,,,Christchurch
E05003116,5,,,,,,,,Clifton
E05003117,0,,,,,,,,Crummock
E05003118,0,,,,,,,,Dalton
E05003119,0,,,,,,,,Derwent Valley
E05003120,5,,,,,,,,Ellen
E05003121,15,,,,,,,,Ellenborough
E05003122,25,,,,,,,,Ewanrigg
E05003123,5,,,,,,,,Flimby
E05003124,5,,,,,,,,Harrington
E05003125,5,,,,,,,,Holme
E05003126,0,,,,,,,,Keswick
E05003127,0,,,,,,,,Marsh
E05003128,45,,,,,,,,Moorclose
E05003129,45,,,,,,,,Moss Bay
E05003130,25,,,,,,,,Netherhall
E05003131,10,,,,,,,,Seaton
E05003132,5,,,,,,,,Silloth
E05003133,0,,,,,,,,Solway
E05003136,20,,,,,,,,St John's
E05003137,45,,,,,,,,St Michael's
E05003138,5,,,,,,,,Stainburn
E05003134,5,,,,,,,,Wampool
E05003135,0,,,,,,,,Warnell
E05003139,0,,,,,,,,Waver
E05003140,0,,,,,,,,Wharrels
E05003141,20,,,,,,,,Wigton
E05003142,15,,,,,,,,Barrow Island
E05003143,50,,,,,,,,Central
E05003144,20,,,,,,,,Dalton North
E05003145,25,,,,,,,,Dalton South
E05003146,5,,,,,,,,Hawcoat
E05003147,55,,,,,,,,Hindpool
E05003148,20,,,,,,,,Newbarns
E05003149,35,,,,,,,,Ormsgill
E05003150,20,,,,,,,,Parkside
E05003151,35,,,,,,,,Risedale
E05003152,5,,,,,,,,Roosecote
E05003153,10,,,,,,,,Walney North
E05003154,10,,,,,,,,Walney South
E05003155,15,,,,,,,,Belah
E05003156,30,,,,,,,,Belle Vue
E05003157,35,,,,,,,,Botcherby
E05003158,10,,,,,,,,Brampton
E05003159,0,,,,,,,,Burgh
E05003160,50,,,,,,,,Castle
E05003161,20,,,,,,,,Currock
E05003162,15,,,,,,,,Dalston
E05003163,25,,,,,,,,Denton Holme
E05003164,0,,,,,,,,Great Corby and Geltsdale
E05003165,15,,,,,,,,Harraby
E05003166,5,,,,,,,,Hayton
E05003167,5,,,,,,,,Irthing
E05003168,10,,,,,,,,Longtown & Rockcliffe
E05003169,0,,,,,,,,Lyne
E05003170,25,,,,,,,,Morton
E05003171,35,,,,,,,,St Aidans
E05003172,5,,,,,,,,Stanwix Rural
E05003173,5,,,,,,,,Stanwix Urban
E05003174,25,,,,,,,,Upperby
E05003175,5,,,,,,,,Wetheral
E05003176,10,,,,,,,,Yewdale
E05003177,5,,,,,,,,Arlecdon
E05003178,5,,,,,,,,Beckermet
E05003179,0,,,,,,,,Bootle
E05003180,15,,,,,,,,Bransty
E05003181,15,,,,,,,,Cleator Moor North
E05003182,15,,,,,,,,Cleator Moor South
E05003183,15,,,,,,,,Distington
E05003184,20,,,,,,,,Egremont North
E05003185,15,,,,,,,,Egremont South
E05003186,0,,,,,,,,Ennerdale
E05003187,10,,,,,,,,Frizington
E05003188,0,,,,,,,,Gosforth
E05003189,40,,,,,,,,Harbour
E05003190,5,,,,,,,,Haverigg
E05003191,10,,,,,,,,Hensingham
E05003192,5,,,,,,,,Hillcrest
E05003193,10,,,,,,,,Holborn Hill
E05003194,10,,,,,,,,Kells
E05003195,0,,,,,,,,Millom Without
E05003196,25,,,,,,,,Mirehouse
E05003197,5,,,,,,,,Moresby
E05003198,10,,,,,,,,Newtown
E05003199,20,,,,,,,,Sandwith
E05003200,0,,,,,,,,Seascale
E05003201,5,,,,,,,,St Bees
E05003203,0,,,,,,,,Alston Moor
E05003204,5,,,,,,,,Appleby (Appleby)
E05003202,5,,,,,,,,Appleby (Bongate)
E05003205,0,,,,,,,,Askham
E05003206,0,,,,,,,,Brough
E05003207,0,,,,,,,,Crosby Ravensworth
E05003208,0,,,,,,,,Dacre
E05003209,0,,,,,,,,Eamont
E05003210,0,,,,,,,,Greystoke
E05003211,0,,,,,,,,Hartside
E05003212,0,,,,,,,,Hesket
E05003213,10,,,,,,,,"Kirkby Stephen,Ravenstonedale"
E05003214,0,,,,,,,,Kirkby Thore
E05003215,0,,,,,,,,Kirkoswald
E05003216,0,,,,,,,,Langwathby
E05003230,0,,,,,,,,Lazonby
E05003217,0,,,,,,,,Long Marton
E05003218,0,,,,,,,,Morland
E05003219,0,,,,,,,,Orton with Tebay
E05003220,0,,,,,,,,Penrith Carleton
E05003221,10,,,,,,,,Penrith East
E05003222,5,,,,,,,,Penrith North
E05003223,5,,,,,,,,Penrith Pategill
E05003224,10,,,,,,,,Penrith South
E05003225,5,,,,,,,,Penrith West
E05003226,5,,,,,,,,Shap
E05003227,0,,,,,,,,Skelton
E05003228,0,,,,,,,,Ullswater
E05003229,0,,,,,,,,Warcop
E05003231,5,,,,,,,,Ambleside and Grasmere
E05003232,0,,,,,,,,Arnside and Beetham
E05003233,0,,,,,,,,Broughton
E05003234,0,,,,,,,,Burneside
E05003235,0,,,,,,,,Burton and Holme
E05003236,0,,,,,,,,Cartmel and Grange West
E05003237,0,,,,,,,,Coniston and Crake Valley
E05003238,0,,,,,,,,Crooklands
E05003239,0,,,,,,,,Grange North
E05003240,0,,,,,,,,Grange South
E05003241,0,,,,,,,,Hawkshead
E05003242,0,,,,,,,,Holker
E05003243,0,,,,,,,,Kendal Castle
E05003244,5,,,,,,,,Kendal Far Cross
E05003245,10,,,,,,,,Kendal Fell
E05003246,0,,,,,,,,Kendal Heron Hill
E05003247,0,,,,,,,,Kendal Highgate
E05003248,10,,,,,,,,Kendal Kirkland
E05003249,0,,,,,,,,Kendal Mintsfeet
E05003250,5,,,,,,,,Kendal Nether
E05003251,0,,,,,,,,Kendal Oxenholme and Natland
E05003252,0,,,,,,,,Kendal Parks
E05003253,5,,,,,,,,Kendal Romney
E05003254,0,,,,,,,,Kendal Stonecross
E05003255,5,,,,,,,,Kendal Strickland
E05003256,0,,,,,,,,Kendal Underley
E05003257,0,,,,,,,,Levens
E05003258,0,,,,,,,,Low Furness
E05003259,0,,,,,,,,Lyth Valley
E05003260,5,,,,,,,,Mid Furness
E05003261,0,,,,,,,,Milnthorpe
E05003262,5,,,,,,,,Sedbergh and Kirkby Lonsdale
E05003263,0,,,,,,,,Staveley-in-Cartmel
E05003264,0,,,,,,,,Staveley-in-Westmorland
E05003265,5,,,,,,,,Ulverston Central
E05003266,5,,,,,,,,Ulverston East
E05003267,5,,,,,,,,Ulverston North
E05003268,0,,,,,,,,Ulverston South
E05003269,0,,,,,,,,Ulverston Town
E05003270,0,,,,,,,,Ulverston West
E05003271,0,,,,,,,,Whinfell
E05003272,0,,,,,,,,Windermere Applethwaite and Troutbeck
E05003273,5,,,,,,,,Windermere Bowness North
E05003274,0,,,,,,,,Windermere Bowness South
E05003275,0,,,,,,,,Windermere Town
E05003276,40,,,,,,,,Alfreton
E05003277,0,,,,,,,,Alport
E05003278,15,,,,,,,,Belper Central
E05003279,10,,,,,,,,Belper East
E05003280,5,,,,,,,,Belper North
E05003281,15,,,,,,,,Belper South
E05003282,15,,,,,,,,Codnor and Waingroves
E05003283,5,,,,,,,,Crich
E05003284,5,,,,,,,,Duffield
E05008520,15,,,,,,,,Heage and Ambergate
E05003286,15,,,,,,,,Heanor and Loscoe
E05003287,20,,,,,,,,Heanor East
E05008521,35,,,,,,,,Heanor West
E05003289,35,,,,,,,,Ironville and Riddings
E05003290,15,,,,,,,,"Kilburn, Denby and Holbrook"
E05008522,40,,,,,,,,Langley Mill and Aldercar
E05003292,35,,,,,,,,Ripley
E05003293,10,,,,,,,,Ripley and Marehay
E05008523,10,,,,,,,,"Shipley Park, Horsley and Horsley Woodhouse"
E05003295,45,,,,,,,,Somercotes
E05003296,5,,,,,,,,South West Parishes
E05003297,5,,,,,,,,Swanwick
E05008524,0,,,,,,,,Wingfield
E05003299,5,,,,,,,,Barlborough
E05003300,15,,,,,,,,Blackwell
E05003301,15,,,,,,,,Bolsover North West
E05003302,5,,,,,,,,Bolsover South
E05003303,15,,,,,,,,Bolsover West
E05003304,25,,,,,,,,Clowne North
E05003305,15,,,,,,,,Clowne South
E05003306,45,,,,,,,,Elmton-with-Creswell
E05003307,20,,,,,,,,Pinxton
E05003308,10,,,,,,,,Pleasley
E05003309,10,,,,,,,,Scarcliffe
E05003310,5,,,,,,,,Shirebrook East
E05003311,5,,,,,,,,Shirebrook Langwith
E05003312,10,,,,,,,,Shirebrook North West
E05003313,5,,,,,,,,Shirebrook South East
E05003314,5,,,,,,,,Shirebrook South West
E05003315,20,,,,,,,,South Normanton East
E05003316,20,,,,,,,,South Normanton West
E05003317,15,,,,,,,,Tibshelf
E05003318,10,,,,,,,,Whitwell
E05003319,25,,,,,,,,Barrow Hill and New Whittington
E05003320,15,,,,,,,,Brimington North
E05003321,20,,,,,,,,Brimington South
E05003322,20,,,,,,,,Brockwell
E05003323,40,,,,,,,,Dunston
E05003324,15,,,,,,,,Hasland
E05003325,15,,,,,,,,Hollingwood and Inkersall
E05003326,20,,,,,,,,Holmebrook
E05003327,10,,,,,,,,Linacre
E05003328,25,,,,,,,,Loundsley Green
E05003329,25,,,,,,,,Lowgates and Woodthorpe
E05003330,40,,,,,,,,Middlecroft and Poolsbrook
E05003331,25,,,,,,,,Moor
E05003332,25,,,,,,,,Old Whittington
E05003333,65,,,,,,,,Rother
E05003334,35,,,,,,,,St Helen's
E05003335,30,,,,,,,,St Leonard's
E05003336,5,,,,,,,,Walton
E05003337,5,,,,,,,,West
E05003338,5,,,,,,,,Ashbourne North
E05003339,10,,,,,,,,Ashbourne South
E05003340,0,,,,,,,,Bakewell
E05003341,0,,,,,,,,Bradwell
E05003342,0,,,,,,,,Brailsford
E05003343,5,,,,,,,,Calver
E05003344,0,,,,,,,,Carsington Water
E05003345,0,,,,,,,,Chatsworth
E05003346,0,,,,,,,,Clifton and Bradley
E05003347,10,,,,,,,,Darley Dale
E05003348,0,,,,,,,,Dovedale and Parwich
E05003349,5,,,,,,,,Doveridge and Sudbury
E05003350,0,,,,,,,,Hartington and Taddington
E05003351,5,,,,,,,,Hathersage and Eyam
E05003352,0,,,,,,,,Hulland
E05003353,0,,,,,,,,Lathkill and Bradford
E05003354,0,,,,,,,,Litton and Longstone
E05003355,5,,,,,,,,Masson
E05003356,15,,,,,,,,Matlock All Saints
E05003357,20,,,,,,,,Matlock St Giles
E05003358,0,,,,,,,,Norbury
E05003359,0,,,,,,,,Stanton
E05003360,0,,,,,,,,Tideswell
E05003361,0,,,,,,,,Winster and South Darley
E05003362,15,,,,,,,,Wirksworth
E05003363,15,,,,,,,,Abbotsford
E05003364,5,,,,,,,,Breaston
E05003365,35,,,,,,,,Cotmanhay
E05003366,35,,,,,,,,Derby Road East
E05003367,30,,,,,,,,Derby Road West
E05003368,5,,,,,,,,Draycott
E05003369,20,,,,,,,,Hallam Fields
E05003370,40,,,,,,,,Ilkeston Central
E05003371,35,,,,,,,,Ilkeston North
E05003372,30,,,,,,,,Kirk Hallam
E05003373,5,,,,,,,,Little Eaton and Breadsall
E05003374,10,,,,,,,,Little Hallam
E05003375,25,,,,,,,,Long Eaton Central
E05003376,35,,,,,,,,Nottingham Road
E05003377,20,,,,,,,,Ockbrook And Borrowash
E05003378,20,,,,,,,,Old Park
E05003379,30,,,,,,,,Sandiacre North
E05003380,10,,,,,,,,Sandiacre South
E05003381,30,,,,,,,,Sawley
E05003382,10,,,,,,,,Stanley
E05003383,15,,,,,,,,West Hallam and Dale Abbey
E05003384,20,,,,,,,,Wilsthorpe
E05003385,10,,,,,,,,Barms
E05003386,10,,,,,,,,Blackbrook
E05003387,0,,,,,,,,Burbage
E05003388,15,,,,,,,,Buxton Central
E05003389,0,,,,,,,,Chapel East
E05003390,5,,,,,,,,Chapel West
E05003391,5,,,,,,,,Corbar
E05003392,5,,,,,,,,Cote Heath
E05003393,0,,,,,,,,Dinting
E05003394,20,,,,,,,,Gamesley
E05003395,15,,,,,,,,Hadfield North
E05003396,15,,,,,,,,Hadfield South
E05003397,0,,,,,,,,Hayfield
E05003398,0,,,,,,,,Hope Valley
E05003399,15,,,,,,,,Howard Town
E05003400,5,,,,,,,,Limestone Peak
E05003401,5,,,,,,,,New Mills East
E05003402,5,,,,,,,,New Mills West
E05003403,15,,,,,,,,Old Glossop
E05003404,5,,,,,,,,Padfield
E05003405,0,,,,,,,,Sett
E05003406,5,,,,,,,,Simmondley
E05003407,5,,,,,,,,St John's
E05003408,20,,,,,,,,Stone Bench
E05003410,0,,,,,,,,Temple
E05003411,5,,,,,,,,Tintwistle
E05003409,10,,,,,,,,Whaley Bridge
E05003412,5,,,,,,,,Whitfield
E05003413,0,,,,,,,,Ashover
E05003414,0,,,,,,,,Barlow and Holmesfield
E05003415,0,,,,,,,,Brampton and Walton
E05003416,35,,,,,,,,Clay Cross North
E05003417,20,,,,,,,,Clay Cross South
E05003418,5,,,,,,,,Coal Aston
E05003419,5,,,,,,,,Dronfield North
E05003420,5,,,,,,,,Dronfield South
E05003421,0,,,,,,,,Dronfield Woodhouse
E05003422,10,,,,,,,,Eckington North
E05003423,10,,,,,,,,Eckington South
E05003424,5,,,,,,,,Gosforth Valley
E05003425,20,,,,,,,,Grassmoor
E05003426,15,,,,,,,,Holmewood and Heath
E05003427,10,,,,,,,,Killamarsh East
E05003428,10,,,,,,,,Killamarsh West
E05003429,20,,,,,,,,North Wingfield Central
E05003430,15,,,,,,,,Pilsley and Morton
E05003431,10,,,,,,,,Renishaw
E05003432,0,,,,,,,,Ridgeway and Marsh Lane
E05003433,20,,,,,,,,Shirland
E05003434,10,,,,,,,,Sutton
E05003435,20,,,,,,,,Tupton
E05003436,5,,,,,,,,Unstone
E05003437,5,,,,,,,,Wingerworth
E05003438,10,,,,,,,,Aston
E05003439,20,,,,,,,,Church Gresley
E05003440,5,,,,,,,,Etwall
E05003441,5,,,,,,,,Hatton
E05008809,15,,,,,,,,Hilton
E05008810,15,,,,,,,,Linton
E05008811,5,,,,,,,,Melbourne
E05008812,25,,,,,,,,Midway
E05008813,40,,,,,,,,Newhall and Stanton
E05008814,5,,,,,,,,Repton
E05008815,0,,,,,,,,Seales
E05008816,10,,,,,,,,Stenson
E05008817,20,,,,,,,,Swadlincote
E05008818,5,,,,,,,,Willington and Findern
E05008819,30,,,,,,,,Woodville
E05008820,5,,,,,,,,Axminster Rural
E05008821,10,,,,,,,,Axminster Town
E05008822,0,,,,,,,,Beer and Branscombe
E05008823,10,,,,,,,,Broadclyst
E05003459,5,,,,,,,,Budleigh
E05003460,5,,,,,,,,Clyst Valley
E05003461,15,,,,,,,,Coly Valley
E05003462,0,,,,,,,,Dunkeswell
E05003463,5,,,,,,,,Exe Valley
E05003464,5,,,,,,,,Exmouth Brixington
E05003465,5,,,,,,,,Exmouth Halsdon
E05003466,15,,,,,,,,Exmouth Littleham
E05003467,15,,,,,,,,Exmouth Town
E05003468,20,,,,,,,,Exmouth Withycombe Raleigh
E05003469,5,,,,,,,,Feniton and Buckerell
E05003470,25,,,,,,,,Honiton St Michael's
E05003471,10,,,,,,,,Honiton St Paul's
E05003472,0,,,,,,,,Newbridges
E05008542,5,,,,,,,,Newton Poppleford and Harpford
E05008543,0,,,,,,,,Otterhead
E05003475,0,,,,,,,,Ottery St Mary Rural
E05003476,5,,,,,,,,Ottery St Mary Town
E05003477,5,,,,,,,,Raleigh
E05003478,5,,,,,,,,Seaton
E05008544,5,,,,,,,,Sidmouth Rural
E05003480,10,,,,,,,,Sidmouth Sidford
E05003481,0,,,,,,,,Sidmouth Town
E05003482,5,,,,,,,,Tale Vale
E05003483,0,,,,,,,,Trinity
E05003484,0,,,,,,,,Whimple
E05003485,0,,,,,,,,Woodbury and Lympstone
E05003486,0,,,,,,,,Yarty
E05003487,15,,,,,,,,Alphington
E05008545,15,,,,,,,,Cowick
E05003489,5,,,,,,,,Duryard
E05003490,10,,,,,,,,Exwick
E05003491,10,,,,,,,,Heavitree
E05003492,15,,,,,,,,Mincinglake
E05003493,15,,,,,,,,Newtown
E05003494,5,,,,,,,,Pennsylvania
E05003495,15,,,,,,,,Pinhoe
E05003496,10,,,,,,,,Polsloe
E05003497,25,,,,,,,,Priory
E05003498,55,,,,,,,,St David's
E05003499,10,,,,,,,,St James
E05003500,0,,,,,,,,St Leonard's
E05003501,5,,,,,,,,St Loyes
E05003502,20,,,,,,,,St Thomas
E05003503,15,,,,,,,,Topsham
E05003504,20,,,,,,,,Whipton & Barton
E05003505,10,,,,,,,,Boniface
E05003506,5,,,,,,,,Bradninch
E05003507,0,,,,,,,,Cadbury
E05003508,5,,,,,,,,Canonsleigh
E05008546,10,,,,,,,,Castle
E05003510,0,,,,,,,,Clare and Shuttern
E05003511,15,,,,,,,,Cranmore
E05003512,5,,,,,,,,Cullompton North
E05003513,5,,,,,,,,Cullompton Outer
E05003514,5,,,,,,,,Cullompton South
E05003515,0,,,,,,,,Halberton
E05003516,10,,,,,,,,Lawrence
E05003517,5,,,,,,,,Lower Culm
E05003518,25,,,,,,,,Lowman
E05003519,0,,,,,,,,Newbrooke
E05003520,0,,,,,,,,Sandford and Creedy
E05003521,0,,,,,,,,Silverton
E05003522,0,,,,,,,,Taw
E05008547,15,,,,,,,,Taw Vale
E05003524,5,,,,,,,,Upper Culm
E05003525,5,,,,,,,,Upper Yeo
E05003526,0,,,,,,,,Way
E05003527,15,,,,,,,,Westexe
E05003528,5,,,,,,,,Yeo
E05003529,10,,,,,,,,Bickington and Roundswell
E05003530,0,,,,,,,,Bishop's Nympton
E05003531,0,,,,,,,,Bratton Fleming
E05008548,5,,,,,,,,Braunton East
E05003533,5,,,,,,,,Braunton West
E05003534,30,,,,,,,,Central Town
E05003535,0,,,,,,,,Chittlehampton
E05003536,5,,,,,,,,Chulmleigh
E05003537,5,,,,,,,,Combe Martin
E05003538,20,,,,,,,,Forches and Whiddon Valley
E05003539,10,,,,,,,,Fremington
E05003540,0,,,,,,,,Georgeham and Mortehoe
E05003541,5,,,,,,,,Heanton Punchardon
E05003542,25,,,,,,,,Ilfracombe Central
E05003543,5,,,,,,,,Ilfracombe East
E05003544,10,,,,,,,,Ilfracombe West
E05003545,0,,,,,,,,Instow
E05003546,10,,,,,,,,"Landkey, Swimbridge and Taw"
E05003547,10,,,,,,,,Longbridge
E05003548,0,,,,,,,,Lynton and Lynmouth
E05003549,5,,,,,,,,Marwood
E05003550,20,,,,,,,,Newport
E05003551,0,,,,,,,,North Molton
E05003552,5,,,,,,,,Pilton
E05003553,15,,,,,,,,South Molton
E05003554,5,,,,,,,,Witheridge
E05003555,15,,,,,,,,Yeo Valley
E05003556,0,,,,,,,,Allington and Loddiswell
E05003557,0,,,,,,,,Avon and Harbourne
E05003558,5,,,,,,,,Bickleigh and Shaugh
E05003559,0,,,,,,,,Charterlands
E05003560,5,,,,,,,,Cornwood and Sparkwell
E05003561,0,,,,,,,,Dartington
E05003562,0,,,,,,,,Dartmouth and Kingswear
E05003563,5,,,,,,,,Dartmouth Townstal
E05003564,0,,,,,,,,East Dart
E05003565,0,,,,,,,,Eastmoor
E05003566,5,,,,,,,,Erme Valley
E05003567,10,,,,,,,,Ivybridge Central
E05003568,10,,,,,,,,Ivybridge Filham
E05003569,5,,,,,,,,Ivybridge Woodlands
E05003570,0,,,,,,,,Kingsbridge East
E05003571,5,,,,,,,,Kingsbridge North
E05003572,5,,,,,,,,Marldon
E05003573,5,,,,,,,,Newton and Noss
E05003574,0,,,,,,,,Salcombe and Malborough
E05003575,0,,,,,,,,Saltstone
E05003576,5,,,,,,,,Skerries
E05003577,5,,,,,,,,South Brent
E05003578,0,,,,,,,,Stokenham
E05003579,0,,,,,,,,Thurlestone
E05003580,15,,,,,,,,Totnes Bridgetown
E05003581,5,,,,,,,,Totnes Town
E05003582,5,,,,,,,,Wembury and Brixton
E05003583,0,,,,,,,,West Dart
E05003584,0,,,,,,,,Westville and Alvington
E05003585,0,,,,,,,,Yealmpton
E05003586,10,,,,,,,,Ambrook
